Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
Hg2Cl2,48.5,48.5,80,17,31.5,44.5477,2.5,2.5,3,2,0.5,0.7071,-11.5,-11.5,-10,-13,1.5,2.1213,-1.0,-1.0,1,-3,2.0,2.8284,-7.0,-7.0,-6,-8,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,16.5,16.5,26,7,9.5,13.435,14.5,14.5,17,12,2.5,3.5355,0.5,0.5,1,0,0.5,0.7071,24.0,24.0,34,14,10.0,14.1421,-0.37,0.23
Ti2Cl2,19.5,19.5,22,17,2.5,3.5355,2.0,2.0,3,1,1.0,1.4142,-10.0,-10.0,-7,-13,3.0,4.2426,-1.5,-1.5,0,-3,1.5,2.1213,-6.0,-6.0,-4,-8,2.0,2.8284,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,5.5,5.5,7,4,1.5,2.1213,10.5,10.5,17,4,6.5,9.1924,4.5,4.5,8,1,3.5,4.9497,53.0,53.0,92,14,39.0,55.1543,-0.8,0.35
Sn2F2,29.5,29.5,50,9,20.5,28.9914,2.0,2.0,3,1,1.0,1.4142,-12.5,-12.5,-6,-19,6.5,9.1924,-2.0,-2.0,0,-4,2.0,2.8284,-7.0,-7.0,-3,-11,4.0,5.6569,1.5,1.5,2,1,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,10.5,10.5,14,7,3.5,4.9497,15.5,15.5,17,14,1.5,2.1213,2.5,2.5,4,1,1.5,2.1213,29.5,29.5,56,3,26.5,37.4767,-1.46,0.3
F2Sb2,30.0,30.0,51,9,21.0,29.6985,2.5,2.5,3,2,0.5,0.7071,-13.5,-13.5,-8,-19,5.5,7.7782,-2.5,-2.5,-1,-4,1.5,2.1213,-7.5,-7.5,-4,-11,3.5,4.9497,2.5,2.5,4,1,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,11.0,11.0,15,7,4.0,5.6569,16.0,16.0,17,15,1.0,1.4142,2.0,2.0,3,1,1.0,1.4142,22.5,22.5,42,3,19.5,27.5772,-1.2,0.4
Hf2O2,40.0,40.0,72,8,32.0,45.2548,2.0,2.0,3,1,1.0,1.4142,-11.0,-11.0,-6,-16,5.0,7.0711,-1.0,-1.0,0,-2,1.0,1.4142,-5.5,-5.5,-2,-9,3.5,4.9497,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,12.0,12.0,18,6,6.0,8.4853,10.0,10.0,16,4,6.0,8.4853,5.0,5.0,8,2,3.0,4.2426,57.0,57.0,109,5,52.0,73.5391,-1.89,0.75
Hf2Se2,53.0,53.0,72,34,19.0,26.8701,1.5,1.5,2,1,0.5,0.7071,-8.0,-8.0,-6,-10,2.0,2.8284,-1.0,-1.0,0,-2,1.0,1.4142,-4.0,-4.0,-2,-6,2.0,2.8284,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,17.0,17.0,18,16,1.0,1.4142,10.0,10.0,16,4,6.0,8.4853,5.0,5.0,8,2,3.0,4.2426,67.5,67.5,109,26,41.5,58.6899,-0.71,0.46
Hf2Te2,62.0,62.0,72,52,10.0,14.1421,1.5,1.5,2,1,0.5,0.7071,-7.5,-7.5,-6,-9,1.5,2.1213,-1.0,-1.0,0,-2,1.0,1.4142,-3.5,-3.5,-2,-5,1.5,2.1213,1.5,1.5,3,0,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,17.0,17.0,18,16,1.0,1.4142,10.0,10.0,16,4,6.0,8.4853,5.0,5.0,8,2,3.0,4.2426,73.0,73.0,109,37,36.0,50.9117,-0.07,0.62
Ir2O2,42.5,42.5,77,8,34.5,48.7904,2.5,2.5,3,2,0.5,0.7071,-12.0,-12.0,-8,-16,4.0,5.6569,-2.0,-2.0,-2,-2,0.0,0.0,-7.0,-7.0,-5,-9,2.0,2.8284,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,14.5,14.5,23,6,8.5,12.0208,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,28.0,28.0,51,5,23.0,32.5269,-0.16,0.51
Ir2S2,46.5,46.5,77,16,30.5,43.1335,2.0,2.0,2,2,0.0,0.0,-9.5,-9.5,-8,-11,1.5,2.1213,-2.0,-2.0,-2,-2,0.0,0.0,-6.0,-6.0,-5,-7,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,14.5,14.5,23,6,8.5,12.0208,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,35.0,35.0,51,19,16.0,22.6274,-0.03,0.32
Mo2O2,25.0,25.0,42,8,17.0,24.0416,2.5,2.5,3,2,0.5,0.7071,-11.0,-11.0,-6,-16,5.0,7.0711,-1.5,-1.5,-1,-2,0.5,0.7071,-6.5,-6.5,-4,-9,2.5,3.5355,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,6.0,6.0,6,6,0.0,0.0,11.0,11.0,16,6,5.0,7.0711,4.0,4.0,6,2,2.0,2.8284,45.5,45.5,86,5,40.5,57.2756,-0.79,0.72
