Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
Y4F2N3,18.3333,21.6667,39,7,14.6363,26.0,2.3333,2.1111,3,1,0.9428,1.6777,-12.6667,-11.2222,-6,-19,5.3125,9.5355,-1.6667,-1.2222,0,-4,1.6997,3.0429,-6.6667,-5.6667,-2,-11,3.6818,6.6081,1.6667,1.5556,4,0,1.6997,2.9502,0.3333,0.4444,1,0,0.4714,0.8389,0.3333,0.4444,1,0,0.4714,0.8389,0.3333,0.4444,1,0,0.4714,0.8389,0.0,0.0,0,0,0.0,0.0,5.0,4.5556,7,3,1.633,2.9313,11.6667,10.1111,17,3,6.1824,11.042,4.3333,5.2222,9,1,3.3993,6.0858,54.3333,71.0,153,3,69.787,124.2739,-2.46,0.0
Hf4N3O2,29.0,36.1111,72,7,30.4083,54.0898,2.3333,2.1111,3,1,0.9428,1.6777,-11.6667,-10.5556,-6,-16,4.1899,7.508,-1.0,-0.7778,0,-2,0.8165,1.4656,-6.0,-5.2222,-2,-9,2.9439,5.274,2.6667,2.2222,4,0,1.8856,3.3555,0.3333,0.4444,1,0,0.4714,0.8389,0.3333,0.4444,1,0,0.4714,0.8389,0.3333,0.4444,1,0,0.4714,0.8389,0.0,0.0,0,0,0.0,0.0,9.6667,11.0,18,5,5.9067,10.4881,11.6667,10.3333,16,4,5.4365,9.6954,4.3333,5.0,8,2,2.6247,4.6904,40.3333,51.8889,109,5,48.5615,86.4596,-2.21,0.09
Nb4C3,23.5,26.0,41,6,17.5,25.0,1.5,1.4286,2,1,0.5,0.7143,-8.5,-8.2857,-7,-10,1.5,2.1429,0.0,0.0,0,0,0.0,0.0,-4.5,-4.4286,-4,-5,0.5,0.7143,1.5,1.2857,3,0,1.5,2.1429,0.5,0.5714,1,0,0.5,0.7143,0.5,0.5714,1,0,0.5,0.7143,0.5,0.5714,1,0,0.5,0.7143,0.0,0.0,0,0,0.0,0.0,4.5,4.5714,5,4,0.5,0.7143,9.5,8.8571,14,5,4.5,6.4286,5.5,5.7143,7,4,1.5,2.1429,58.5,65.2857,106,11,47.5,67.8571,-0.27,0.37
Ti4N3,14.5,15.5714,22,7,7.5,10.7143,2.0,1.8571,3,1,1.0,1.4286,-10.0,-9.5714,-7,-13,3.0,4.2857,-0.5,-0.4286,0,-1,0.5,0.7143,-5.5,-5.2857,-4,-7,1.5,2.1429,2.0,1.7143,4,0,2.0,2.8571,0.5,0.5714,1,0,0.5,0.7143,0.5,0.5714,1,0,0.5,0.7143,0.5,0.5714,1,0,0.5,0.7143,0.0,0.0,0,0,0.0,0.0,4.5,4.4286,5,4,0.5,0.7143,9.5,8.7143,15,4,5.5,7.8571,5.5,5.8571,8,3,2.5,3.5714,49.5,55.5714,92,7,42.5,60.7143,-1.26,0.15
Au2Te2,65.5,65.5,79,52,13.5,19.0919,2.0,2.0,2,2,0.0,0.0,-9.0,-9.0,-9,-9,0.0,0.0,-2.0,-2.0,-2,-2,0.0,0.0,-5.0,-5.0,-5,-5,0.0,0.0,1.5,1.5,3,0,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,20.5,20.5,25,16,4.5,6.364,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,36.5,36.5,37,36,0.5,0.7071,-0.11,0.0
Bi2O2,45.5,45.5,83,8,37.5,53.033,2.5,2.5,3,2,0.5,0.7071,-11.5,-11.5,-7,-16,4.5,6.364,-1.5,-1.5,-1,-2,0.5,0.7071,-6.5,-6.5,-4,-9,2.5,3.5355,3.0,3.0,4,2,1.0,1.4142,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,17.5,17.5,29,6,11.5,16.2635,15.5,15.5,16,15,0.5,0.7071,2.5,2.5,3,2,0.5,0.7071,27.5,27.5,50,5,22.5,31.8198,-0.72,0.32
Co2Te2,39.5,39.5,52,27,12.5,17.6777,1.5,1.5,2,1,0.5,0.7071,-8.0,-8.0,-7,-9,1.0,1.4142,-1.5,-1.5,-1,-2,0.5,0.7071,-4.5,-4.5,-4,-5,0.5,0.7071,1.5,1.5,3,0,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,12.5,12.5,16,9,3.5,4.9497,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,45.0,45.0,53,37,8.0,11.3137,-0.03,0.14
Cu2I2,41.0,41.0,53,29,12.0,16.9706,1.5,1.5,2,1,0.5,0.7071,-9.5,-9.5,-8,-11,1.5,2.1213,-2.0,-2.0,-1,-3,1.0,1.4142,-5.5,-5.5,-4,-7,1.5,2.1213,2.5,2.5,4,1,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,14.0,14.0,17,11,3.0,4.2426,14.0,14.0,17,11,3.0,4.2426,1.0,1.0,1,1,0.0,0.0,43.5,43.5,53,34,9.5,13.435,-0.17,0.0
Cs2Cl2,36.0,36.0,55,17,19.0,26.8701,1.5,1.5,3,0,1.5,2.1213,-8.0,-8.0,-3,-13,5.0,7.0711,-1.5,-1.5,0,-3,1.5,2.1213,-5.0,-5.0,-2,-8,3.0,4.2426,2.0,2.0,4,0,2.0,2.8284,1.0,1.0,2,0,1.0,1.4142,1.0,1.0,2,0,1.0,1.4142,1.0,1.0,2,0,1.0,1.4142,1.0,1.0,2,0,1.0,1.4142,4.0,4.0,7,1,3.0,4.2426,9.0,9.0,17,1,8.0,11.3137,1.0,1.0,1,1,0.0,0.0,206.5,206.5,399,14,192.5,272.2361,-1.85,0.14
K2Cl2,18.0,18.0,19,17,1.0,1.4142,1.5,1.5,3,0,1.5,2.1213,-8.5,-8.5,-4,-13,4.5,6.364,-1.5,-1.5,0,-3,1.5,2.1213,-5.0,-5.0,-2,-8,3.0,4.2426,2.0,2.0,4,0,2.0,2.8284,1.0,1.0,2,0,1.0,1.4142,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,2,0,1.0,1.4142,4.0,4.0,7,1,3.0,4.2426,9.0,9.0,17,1,8.0,11.3137,1.0,1.0,1,1,0.0,0.0,152.0,152.0,290,14,138.0,195.1615,-1.84,0.15
