Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
Pt2Cl2,47.5,47.5,78,17,30.5,43.1335,2.5,2.5,3,2,0.5,0.7071,-11.0,-11.0,-9,-13,2.0,2.8284,-2.5,-2.5,-2,-3,0.5,0.7071,-6.5,-6.5,-5,-8,1.5,2.1213,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,15.5,15.5,24,7,8.5,12.0208,13.5,13.5,17,10,3.5,4.9497,1.5,1.5,2,1,0.5,0.7071,29.0,29.0,44,14,15.0,21.2132,0.41,0.75
Cu2Se2,31.5,31.5,34,29,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,-9.0,-9.0,-8,-10,1.0,1.4142,-1.5,-1.5,-1,-2,0.5,0.7071,-5.0,-5.0,-4,-6,1.0,1.4142,2.5,2.5,4,1,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,13.5,13.5,16,11,2.5,3.5355,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,39.5,39.5,53,26,13.5,19.0919,0.02,0.16
Cu2Te2,40.5,40.5,52,29,11.5,16.2635,1.5,1.5,2,1,0.5,0.7071,-8.5,-8.5,-8,-9,0.5,0.7071,-1.5,-1.5,-1,-2,0.5,0.7071,-4.5,-4.5,-4,-5,0.5,0.7071,2.0,2.0,3,1,1.0,1.4142,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,13.5,13.5,16,11,2.5,3.5355,13.5,13.5,16,11,2.5,3.5355,1.5,1.5,2,1,0.5,0.7071,45.0,45.0,53,37,8.0,11.3137,0.09,0.18
Ge2I2,42.5,42.5,53,32,10.5,14.8492,2.0,2.0,2,2,0.0,0.0,-9.0,-9.0,-7,-11,2.0,2.8284,-1.5,-1.5,0,-3,1.5,2.1213,-5.0,-5.0,-3,-7,2.0,2.8284,3.5,3.5,4,3,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,15.5,15.5,17,14,1.5,2.1213,15.5,15.5,17,14,1.5,2.1213,2.5,2.5,4,1,1.5,2.1213,36.5,36.5,39,34,2.5,3.5355,0.12,0.4
Pt2I2,65.5,65.5,78,53,12.5,17.6777,2.0,2.0,2,2,0.0,0.0,-10.0,-10.0,-9,-11,1.0,1.4142,-2.5,-2.5,-2,-3,0.5,0.7071,-6.0,-6.0,-5,-7,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,20.5,20.5,24,17,3.5,4.9497,13.5,13.5,17,10,3.5,4.9497,1.5,1.5,2,1,0.5,0.7071,39.0,39.0,44,34,5.0,7.0711,0.32,0.44
Ru2I2,48.5,48.5,53,44,4.5,6.364,2.0,2.0,2,2,0.0,0.0,-9.0,-9.0,-7,-11,2.0,2.8284,-2.0,-2.0,-1,-3,1.0,1.4142,-5.0,-5.0,-3,-7,2.0,2.8284,2.5,2.5,4,1,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,12.5,12.5,17,8,4.5,6.364,12.5,12.5,17,8,4.5,6.364,2.5,2.5,4,1,1.5,2.1213,49.5,49.5,65,34,15.5,21.9203,0.61,0.66
Ir2S2,46.5,46.5,77,16,30.5,43.1335,2.0,2.0,2,2,0.0,0.0,-9.5,-9.5,-8,-11,1.5,2.1213,-2.0,-2.0,-2,-2,0.0,0.0,-6.0,-6.0,-5,-7,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,14.5,14.5,23,6,8.5,12.0208,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,35.0,35.0,51,19,16.0,22.6274,0.02,0.37
Ir2Te2,64.5,64.5,77,52,12.5,17.6777,2.0,2.0,2,2,0.0,0.0,-8.5,-8.5,-8,-9,0.5,0.7071,-2.0,-2.0,-2,-2,0.0,0.0,-5.0,-5.0,-5,-5,0.0,0.0,1.5,1.5,3,0,1.5,2.1213,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,19.5,19.5,23,16,3.5,4.9497,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,44.0,44.0,51,37,7.0,9.8995,0.29,0.54
Ir2Te2,64.5,64.5,77,52,12.5,17.6777,2.0,2.0,2,2,0.0,0.0,-8.5,-8.5,-8,-9,0.5,0.7071,-2.0,-2.0,-2,-2,0.0,0.0,-5.0,-5.0,-5,-5,0.0,0.0,1.5,1.5,3,0,1.5,2.1213,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,19.5,19.5,23,16,3.5,4.9497,12.5,12.5,16,9,3.5,4.9497,2.5,2.5,3,2,0.5,0.7071,44.0,44.0,51,37,7.0,9.8995,0.01,0.26
Ni2Se2,31.0,31.0,34,28,3.0,4.2426,1.5,1.5,2,1,0.5,0.7071,-8.5,-8.5,-7,-10,1.5,2.1213,-1.5,-1.5,-1,-2,0.5,0.7071,-5.0,-5.0,-4,-6,1.0,1.4142,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,13.0,13.0,16,10,3.0,4.2426,13.0,13.0,16,10,3.0,4.2426,2.0,2.0,2,2,0.0,0.0,37.0,37.0,48,26,11.0,15.5563,0.04,0.32
